Attrition,Business Travel,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,Daily Rate,Distance From Home,Education,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
1,Travel_Rarely,R&D,Technical Degree,65,Male,Laboratory Technician,Single,1,3,28,1434,5,Master's Degree,1,3,50,3,1,3,3441,11179,1,13,3,3,80,0,2,2,2,2,2,2
0,Travel_Rarely,Sales,Marketing,68,Female,Sales Executive,Divorced,1,2,44,1488,1,Doctoral Degree,1,2,75,3,2,4,5454,4009,5,21,4,3,80,1,9,2,4,3,1,3
0,0n-Travel,R&D,Medical,70,Male,Healthcare Representative,Married,1,3,35,1097,11,Associates Degree,1,3,79,2,3,4,9884,8302,2,13,3,3,80,1,10,3,4,0,2,3
0,Travel_Rarely,Sales,Marketing,72,Female,Sales Executive,Married,1,2,26,1443,23,Bachelor's Degree,1,3,47,2,2,4,4157,21436,7,19,3,3,80,1,5,2,2,2,0,0
0,Travel_Frequently,R&D,Life Sciences,73,Female,Research Director,Single,1,1,33,515,1,Associates Degree,1,1,98,3,3,2,13458,15146,1,12,3,3,80,0,15,3,15,14,8,12
0,Travel_Frequently,Sales,Life Sciences,74,Male,Sales Executive,Married,0,3,35,853,18,Doctoral Degree,1,2,71,3,3,2,9069,11031,1,22,4,4,80,1,9,2,9,8,1,8
0,Travel_Rarely,R&D,Medical,75,Female,Laboratory Technician,Married,1,3,35,1142,23,Master's Degree,1,3,30,3,1,4,4014,16002,3,15,3,3,80,1,4,3,2,2,2,2
0,Travel_Rarely,R&D,Life Sciences,76,Male,Laboratory Technician,Divorced,0,3,31,655,7,Master's Degree,1,4,48,3,2,2,5915,9528,3,22,4,4,80,1,10,2,7,7,1,7
0,Travel_Rarely,R&D,Life Sciences,77,Male,Manufacturing Director,Divorced,0,2,37,1115,1,Master's Degree,1,1,51,2,2,2,5993,2689,1,18,3,3,80,1,7,4,7,5,0,7
0,Travel_Rarely,R&D,Medical,78,Male,Manufacturing Director,Married,1,3,32,427,1,Bachelor's Degree,1,1,33,3,2,4,6162,10877,1,22,4,2,80,1,9,3,9,8,7,8
0,Travel_Frequently,R&D,Life Sciences,79,Female,Laboratory Technician,Single,0,2,38,653,29,Doctoral Degree,1,4,50,3,2,2,2406,5456,1,11,3,4,80,0,10,3,10,3,9,9
0,Travel_Rarely,R&D,Medical,80,Female,Research Director,Divorced,1,2,50,989,7,Associates Degree,1,2,43,2,5,3,18740,16701,5,12,3,4,80,1,29,2,27,3,13,8
0,Travel_Rarely,Sales,Life Sciences,81,Female,Sales Executive,Single,0,3,59,1435,25,Bachelor's Degree,1,1,99,3,3,2,7637,2354,7,11,3,4,80,0,28,2,21,16,7,9
0,Travel_Rarely,R&D,Technical Degree,83,Female,Healthcare Representative,Divorced,0,2,36,1223,8,Bachelor's Degree,1,3,59,3,3,3,10096,8202,1,13,3,2,80,3,17,3,17,14,12,8
0,Travel_Rarely,R&D,Medical,84,Female,Manager,Divorced,1,2,55,836,8,Bachelor's Degree,1,4,33,3,4,3,14756,19730,2,14,3,3,80,3,21,3,5,0,0,2
0,Travel_Frequently,R&D,Life Sciences,85,Male,Manufacturing Director,Single,0,3,36,1195,11,Bachelor's Degree,1,2,95,2,2,2,6499,22656,1,13,3,3,80,0,6,3,6,5,0,3
0,Travel_Rarely,R&D,Life Sciences,86,Male,Research Scientist,Divorced,0,2,45,1339,7,Bachelor's Degree,1,2,59,3,3,2,9724,18787,2,17,3,3,80,1,25,3,1,0,0,0
0,Travel_Frequently,R&D,Medical,88,Male,Research Scientist,Married,0,2,35,664,1,Bachelor's Degree,1,2,79,3,1,4,2194,5868,4,13,3,4,80,1,5,2,3,2,1,2
1,Travel_Rarely,R&D,Medical,90,Male,Research Scientist,Married,1,0,36,318,9,Bachelor's Degree,1,4,79,2,1,3,3388,21777,0,17,3,1,80,1,2,2,1,0,0,0
0,Travel_Frequently,Sales,Life Sciences,91,Female,Sales Executive,Single,0,2,59,1225,1,High School,1,1,57,2,2,2,5473,24668,7,11,3,4,80,0,20,2,4,3,1,3
0,Travel_Rarely,R&D,Life Sciences,94,Male,Research Scientist,Married,0,3,29,1328,2,Bachelor's Degree,1,3,76,3,1,2,2703,4956,0,23,4,4,80,1,6,3,5,4,0,4
0,Travel_Rarely,R&D,Medical,95,Male,Research Scientist,Single,0,4,31,1082,1,Master's Degree,1,3,87,3,1,3,2501,18775,1,17,3,2,80,0,1,3,1,1,1,0
0,Travel_Rarely,R&D,Life Sciences,96,Male,Research Scientist,Married,0,3,32,548,1,Bachelor's Degree,1,2,66,3,2,2,6220,7346,1,17,3,2,80,2,10,3,10,4,0,9
0,Travel_Rarely,R&D,Life Sciences,97,Female,Laboratory Technician,Married,0,3,36,132,6,Bachelor's Degree,1,2,55,4,1,2,3038,22002,3,12,3,2,80,0,5,3,1,0,0,0
0,Travel_Rarely,R&D,Life Sciences,98,Female,Manufacturing Director,Single,0,2,31,746,8,Master's Degree,1,3,61,3,2,2,4424,20682,1,23,4,4,80,0,11,3,11,7,1,8
0,Travel_Rarely,Sales,Marketing,100,Male,Sales Executive,Single,0,2,35,776,1,Master's Degree,1,3,32,2,2,4,4312,23016,0,14,3,2,80,0,16,3,15,13,2,8
0,Travel_Rarely,R&D,Other,101,Male,Research Director,Married,1,3,45,193,6,Master's Degree,1,4,52,3,3,4,13245,15067,4,14,3,2,80,0,17,4,0,0,0,0
0,Travel_Rarely,R&D,Medical,102,Male,Research Director,Single,0,3,37,397,7,Master's Degree,1,1,30,3,3,3,13664,25258,4,13,3,1,80,0,16,4,5,2,0,2
0,Travel_Rarely,HR,Medical,103,Male,Human Resources,Divorced,1,2,46,945,5,Associates Degree,1,2,80,3,2,3,5021,10425,8,22,4,4,80,1,16,3,4,2,0,2
0,Travel_Rarely,R&D,Life Sciences,104,Male,Laboratory Technician,Married,1,1,30,852,1,High School,1,4,55,2,2,2,5126,15998,1,12,3,3,80,2,10,2,10,8,3,0
0,Travel_Rarely,R&D,Medical,105,Male,Research Scientist,Single,0,3,35,1214,1,Bachelor's Degree,1,2,30,2,1,3,2859,26278,1,18,3,1,80,0,6,3,6,4,0,4
0,Travel_Rarely,Sales,Life Sciences,106,Male,Sales Executive,Married,0,4,55,111,1,Associates Degree,1,1,70,3,3,2,10239,18092,3,14,3,4,80,1,24,3,1,0,1,0
0,0n-Travel,R&D,Medical,107,Female,Research Scientist,Divorced,1,3,38,573,6,Bachelor's Degree,1,2,79,1,2,4,5329,15717,7,12,3,4,80,3,17,3,13,11,1,9
0,Travel_Rarely,R&D,Medical,110,Male,Manufacturing Director,Married,0,2,34,1153,1,Associates Degree,1,1,94,3,2,3,4325,17736,1,15,3,3,80,0,5,3,5,2,1,3
0,Travel_Rarely,R&D,Life Sciences,112,Male,Manufacturing Director,Single,0,3,56,1400,7,Bachelor's Degree,1,4,49,1,3,2,7260,21698,4,11,3,1,80,0,37,2,6,4,0,2
0,Travel_Rarely,Sales,Technical Degree,113,Male,Sales Representative,Divorced,0,3,23,541,2,High School,1,3,62,3,1,4,2322,9518,3,13,3,3,80,1,3,3,0,0,0,0
0,Travel_Rarely,R&D,Life Sciences,116,Male,Laboratory Technician,Married,0,4,51,432,9,Master's Degree,1,4,96,3,1,2,2075,18725,3,23,4,2,80,2,10,3,4,2,0,3
0,Travel_Rarely,R&D,Life Sciences,117,Male,Healthcare Representative,Married,0,3,30,288,2,Bachelor's Degree,1,3,99,2,2,2,4152,15830,1,19,3,1,80,3,11,3,11,10,10,8
1,Travel_Rarely,Sales,Medical,118,Male,Sales Executive,Single,0,3,46,669,9,Associates Degree,1,3,64,2,3,4,9619,13596,1,16,3,4,80,0,9,3,9,8,4,7
0,Travel_Frequently,R&D,Life Sciences,119,Male,Healthcare Representative,Married,0,3,40,530,1,Master's Degree,1,3,78,2,4,2,13503,14115,1,22,4,4,80,1,22,2,22,3,11,11
0,Travel_Rarely,Sales,Marketing,120,Male,Sales Executive,Single,1,2,51,632,21,Master's Degree,1,3,71,3,2,4,5441,8423,0,22,4,4,80,0,11,1,10,7,1,0
0,Travel_Rarely,Sales,Medical,121,Female,Sales Executive,Divorced,1,4,30,1334,4,Associates Degree,1,3,63,2,2,3,5209,19760,1,12,3,2,80,3,11,2,11,8,2,7
0,Travel_Frequently,R&D,Medical,124,Male,Healthcare Representative,Married,1,5,46,638,1,Bachelor's Degree,1,3,40,2,3,4,10673,3142,2,13,3,3,80,1,21,2,10,9,9,5
0,Travel_Rarely,Sales,Medical,125,Male,Sales Executive,Single,0,0,32,1093,6,Master's Degree,1,2,87,3,2,3,5010,24301,1,16,3,1,80,0,12,3,11,8,5,7
0,Travel_Rarely,R&D,Technical Degree,126,Female,Research Director,Married,0,5,54,1217,2,Master's Degree,1,1,60,3,3,3,13549,24001,9,12,3,1,80,1,16,1,4,3,0,3
0,Travel_Rarely,Sales,Other,128,Female,Sales Executive,Married,0,2,24,1353,3,Associates Degree,1,1,33,3,2,3,4999,17519,0,21,4,1,80,1,4,2,3,2,0,2
0,0n-Travel,Sales,Medical,129,Male,Sales Executive,Married,0,3,28,120,4,Bachelor's Degree,1,2,43,3,2,3,4221,8863,1,15,3,2,80,0,5,4,5,4,0,4
0,Travel_Rarely,Sales,Medical,131,Male,Sales Executive,Single,0,1,58,682,10,Master's Degree,1,4,37,3,4,3,13872,24409,0,13,3,3,80,0,38,2,37,10,1,8
0,0n-Travel,R&D,Medical,132,Male,Laboratory Technician,Married,0,3,44,489,23,Bachelor's Degree,1,2,67,3,2,3,2042,25043,4,12,3,3,80,1,17,4,3,2,1,2
1,Travel_Rarely,HR,Human Resources,133,Male,Human Resources,Divorced,1,3,37,807,6,Master's Degree,1,3,63,3,1,4,2073,23648,4,22,4,4,80,0,7,3,3,2,0,2
0,Travel_Rarely,R&D,Life Sciences,134,Male,Research Scientist,Single,0,2,32,827,1,High School,1,4,71,3,1,2,2956,15178,1,13,3,4,80,0,1,3,1,0,0,0
1,Travel_Frequently,R&D,Life Sciences,137,Female,Laboratory Technician,Single,1,5,20,871,6,Bachelor's Degree,1,4,66,2,1,2,2926,19783,1,18,3,2,80,0,1,3,1,0,1,0
0,Travel_Rarely,R&D,Other,138,Female,Research Scientist,Single,0,3,34,665,6,Master's Degree,1,1,41,3,2,3,4809,12482,1,14,3,3,80,0,16,3,16,13,2,10
0,0n-Travel,R&D,Life Sciences,139,Male,Healthcare Representative,Divorced,0,2,37,1040,2,Associates Degree,1,3,100,2,2,2,5163,15850,5,14,3,4,80,1,17,4,1,0,0,0
0,0n-Travel,HR,Human Resources,140,Female,Manager,Married,0,3,59,1420,2,Master's Degree,1,3,32,2,5,4,18844,21922,9,21,4,4,80,1,30,3,3,2,2,2
0,Travel_Frequently,R&D,Life Sciences,141,Female,Research Director,Married,1,1,50,1115,1,Bachelor's Degree,1,1,73,3,5,2,18172,9755,3,19,3,1,80,0,28,2,8,3,0,7
1,Travel_Rarely,Sales,Marketing,142,Male,Sales Executive,Single,1,1,25,240,5,Bachelor's Degree,1,3,46,2,2,3,5744,26959,1,11,3,4,80,0,6,3,6,4,0,3
0,Travel_Rarely,R&D,Medical,143,Male,Research Scientist,Married,0,2,25,1280,7,High School,1,4,64,2,1,4,2889,26897,1,11,3,3,80,2,2,3,2,2,2,1
0,Travel_Rarely,R&D,Medical,144,Female,Laboratory Technician,Single,0,5,22,534,15,Bachelor's Degree,1,2,59,3,1,4,2871,23785,1,15,3,3,80,0,1,3,0,0,0,0
0,Travel_Frequently,R&D,Medical,145,Female,Healthcare Representative,Single,0,1,51,1456,1,Master's Degree,1,1,30,2,3,4,7484,25796,3,20,4,3,80,0,23,2,13,12,12,8
1,Travel_Frequently,R&D,Life Sciences,147,Male,Laboratory Technician,Single,1,3,34,658,7,Bachelor's Degree,1,1,66,1,2,2,6074,22887,1,24,4,4,80,0,9,3,9,7,0,6
0,0n-Travel,HR,Human Resources,148,Female,Manager,Single,1,3,54,142,26,Bachelor's Degree,1,4,30,4,4,4,17328,13871,2,12,3,3,80,0,23,3,5,3,4,4
0,Travel_Rarely,R&D,Life Sciences,150,Male,Laboratory Technician,Married,0,2,24,1127,18,High School,1,2,52,3,1,2,2774,13257,0,12,3,3,80,1,6,3,5,3,1,2
0,Travel_Rarely,R&D,Life Sciences,151,Female,Research Scientist,Divorced,0,3,34,1031,6,Master's Degree,1,3,45,2,2,2,4505,15000,6,15,3,3,80,1,12,3,1,0,0,0
0,Travel_Rarely,Sales,Life Sciences,152,Male,Sales Executive,Single,0,3,37,1189,3,Bachelor's Degree,1,3,87,3,3,2,7428,14506,2,12,3,1,80,0,12,3,5,3,1,3
0,Travel_Rarely,R&D,Medical,153,Female,Manager,Single,0,6,34,1354,5,Bachelor's Degree,1,3,45,2,3,4,11631,5615,2,12,3,4,80,0,14,3,11,10,5,8
0,Travel_Frequently,Sales,Technical Degree,154,Female,Sales Executive,Married,0,6,36,1467,11,Associates Degree,1,2,92,3,3,4,9738,22952,0,14,3,3,80,1,10,3,9,7,2,8
0,Travel_Rarely,R&D,Life Sciences,155,Female,Laboratory Technician,Divorced,0,2,36,922,3,Associates Degree,1,1,39,3,1,2,2835,2561,5,22,4,1,80,1,7,3,1,0,0,0
0,Travel_Frequently,Sales,Life Sciences,158,Male,Manager,Married,1,3,43,394,26,Associates Degree,1,3,92,3,4,2,16959,19494,1,12,3,4,80,2,25,4,25,12,4,12
0,Travel_Frequently,R&D,Life Sciences,159,Male,Research Scientist,Divorced,0,2,30,1312,23,Bachelor's Degree,1,1,96,1,1,2,2613,22310,1,25,4,3,80,3,10,2,10,7,0,9
0,0n-Travel,Sales,Marketing,160,Male,Sales Executive,Married,0,2,33,750,22,Associates Degree,1,3,95,3,2,3,6146,15480,0,13,3,1,80,1,8,4,7,7,0,7
1,Travel_Rarely,R&D,Life Sciences,161,Female,Research Scientist,Married,1,2,56,441,14,Master's Degree,1,2,72,3,1,2,4963,4510,9,18,3,1,80,3,7,3,5,4,4,3
0,Travel_Rarely,R&D,Life Sciences,162,Male,Research Director,Single,0,5,51,684,6,Bachelor's Degree,1,1,51,3,5,2,19537,6462,7,13,3,3,80,0,23,3,20,18,15,15
1,Travel_Rarely,Sales,Life Sciences,163,Male,Sales Executive,Married,1,3,31,249,6,Master's Degree,1,2,76,1,2,2,6172,20739,4,18,3,2,80,0,12,2,7,7,7,7
0,Travel_Rarely,R&D,Other,164,Female,Research Scientist,Married,0,3,26,841,6,Bachelor's Degree,1,3,46,2,1,3,2368,23300,1,19,3,3,80,0,5,2,5,4,4,3
1,Travel_Rarely,R&D,Medical,165,Female,Healthcare Representative,Married,0,3,58,147,23,Master's Degree,1,4,94,3,3,4,10312,3465,1,12,3,4,80,1,40,2,40,10,15,6
1,Travel_Rarely,Sales,Marketing,167,Male,Sales Representative,Single,1,2,19,528,22,High School,1,4,50,3,1,3,1675,26820,1,19,3,4,80,0,0,2,0,0,0,0
0,Travel_Rarely,R&D,Technical Degree,169,Male,Laboratory Technician,Married,0,2,22,594,2,High School,1,3,100,3,1,4,2523,19299,0,14,3,3,80,1,3,3,2,1,2,1
0,Travel_Rarely,R&D,Medical,170,Female,Manufacturing Director,Married,0,2,49,470,20,Master's Degree,1,3,96,3,2,1,6567,5549,1,14,3,3,80,0,16,2,15,11,5,11
0,Travel_Frequently,R&D,Medical,171,Female,Research Scientist,Single,0,2,43,957,28,Bachelor's Degree,1,2,72,4,1,3,4739,16090,4,12,3,4,80,0,18,3,3,2,1,2
0,Travel_Frequently,Sales,Marketing,174,Female,Sales Executive,Single,0,3,50,809,12,Bachelor's Degree,1,3,77,3,3,4,9208,6645,4,11,3,4,80,0,16,3,2,2,2,1
1,Travel_Rarely,Sales,Life Sciences,175,Female,Sales Executive,Married,1,2,31,542,20,Bachelor's Degree,1,2,71,1,2,2,4559,24788,3,11,3,3,80,1,4,3,2,2,2,2
0,Travel_Rarely,Sales,Life Sciences,176,Male,Sales Executive,Divorced,1,2,41,802,9,High School,1,3,96,3,3,2,8189,21196,3,13,3,3,80,1,12,3,9,7,0,7
0,Travel_Rarely,HR,Life Sciences,177,Female,Human Resources,Married,0,3,26,1355,25,High School,1,3,61,3,1,2,2942,8916,1,23,4,4,80,1,8,3,8,7,5,7
0,Travel_Rarely,R&D,Medical,178,Male,Manufacturing Director,Divorced,0,0,36,216,6,Associates Degree,1,2,84,3,2,3,4941,2819,6,20,4,4,80,2,7,3,3,2,0,1
1,Travel_Frequently,R&D,Life Sciences,179,Male,Manufacturing Director,Single,0,2,51,1150,8,Master's Degree,1,1,53,1,3,2,10650,25150,2,15,3,4,80,0,18,3,4,2,0,3
0,Travel_Rarely,Sales,Life Sciences,182,Female,Sales Executive,Married,0,1,39,1329,4,Master's Degree,1,4,47,2,2,2,5902,14590,4,14,3,3,80,1,17,4,15,11,5,9
0,Travel_Rarely,Sales,Life Sciences,183,Male,Sales Executive,Married,0,3,25,959,28,Bachelor's Degree,1,1,41,2,2,2,8639,24835,2,18,3,4,80,0,6,3,2,2,2,2
0,Travel_Rarely,HR,Human Resources,184,Male,Human Resources,Married,1,2,30,1240,9,Bachelor's Degree,1,3,48,3,2,4,6347,13982,0,19,3,4,80,0,12,1,11,9,4,7
